"","subject","item","category","RT","Pos","experiment"
"528","206","ente","Vögel",979,4,"typing"
"529","206","schloss","Gebäude",1660,5,"typing"
"530","206","strauss","Vögel",1549,5,"typing"
"531","206","sessel","Sitzen",1731,5,"typing"
"532","206","kelle","Kochen",1211,1,"typing"
"533","206","löwe","Raubtiere",1254,1,"typing"
"534","206","brosche","Schmuck",1772,1,"typing"
"535","206","messer","Kochen",1050,2,"typing"
"536","206","armband","Schmuck",1458,2,"typing"
"537","206","leopard","Raubtiere",3186,2,"typing"
"538","206","ring","Schmuck",1343,3,"typing"
"539","206","gabel","Kochen",1359,3,"typing"
"540","206","tiger","Raubtiere",1853,3,"typing"
"541","206","ohrring","Schmuck",1816,4,"typing"
"542","206","panther","Raubtiere",3635,4,"typing"
"543","206","kette","Schmuck",2793,5,"typing"
"544","206","löffel","Kochen",1178,5,"typing"
"545","206","bär","Raubtiere",1049,5,"typing"
"546","207","brokkoli","Gemüse",1264,1,"typing"
"547","207","arztkittel","Jacken",1419,1,"typing"
"548","207","säge","Bauernhof",1413,1,"typing"
"549","207","besen","Bauernhof",980,2,"typing"
"550","207","gurke","Gemüse",941,2,"typing"
"551","207","axt","Bauernhof",927,3,"typing"
"552","207","daunenweste","Jacken",1048,2,"typing"
"553","207","karotte","Gemüse",1050,3,"typing"
"554","207","sakko","Jacken",2236,3,"typing"
"555","207","paprika","Gemüse",1108,4,"typing"
"556","207","sense","Bauernhof",1306,4,"typing"
"557","207","pelzmantel","Jacken",1482,4,"typing"
"558","207","kartoffel","Gemüse",1073,5,"typing"
"559","207","schaufel","Bauernhof",1373,5,"typing"
"560","207","kapuzenpulli","Jacken",1527,5,"typing"
"561","207","reh","Huftiere",1211,1,"typing"
