"","subject","session","trial","age","SD30","SD32","SD31","timetotal","array","item","category","supercategory","VOT","correct","AR","error"
"154",1,1,154,50,"NA","NA","NA",24.7333333333333,1,"ball","Filler","Filler","434","1","NA","NA"
"155",1,1,155,50,"NA","NA","NA",24.7333333333333,1,"brosche","Schmuck","Kleidung","790","1","NA","NA"
"156",1,1,156,50,"NA","NA","NA",24.7333333333333,1,"löffel","Kochen","Werkzeug","2789","1.3","Loeffel","NA"
"157",1,1,157,50,"NA","NA","NA",24.7333333333333,1,"parfum","Filler","Filler","569","1","NA","NA"
"158",1,1,158,50,"NA","NA","NA",24.7333333333333,1,"ohrring","Schmuck","Kleidung","856","1","NA","NA"
"159",1,1,159,50,"NA","NA","NA",24.7333333333333,1,"bär","Raubtiere","Tiere","739","1","NA","NA"
"160",1,1,160,50,"NA","NA","NA",24.7333333333333,1,"ventilator","Filler","Filler","0","0","NR","4"
"161",1,2,1,50,"3","2","8",28.2166666666667,17,"apfel","Obst","Lebensmittel","0","0","NR","4"
"162",1,2,2,50,"3","2","8",28.2166666666667,17,"glocke","Filler","Filler","441","1","NA","NA"
"163",1,2,3,50,"3","2","8",28.2166666666667,17,"marienkäfer","Insekten","Tiere","437","1","NA","NA"
"164",1,2,4,50,"3","2","8",28.2166666666667,17,"glas","Trinkgefässe","Misc II","544","1","NA","NA"
"165",1,2,5,50,"3","2","8",28.2166666666667,17,"banane","Obst","Lebensmittel","460","1","NA","NA"
"166",1,2,6,50,"3","2","8",28.2166666666667,17,"ameise","Insekten","Tiere","564","1","NA","NA"
"167",1,2,7,50,"3","2","8",28.2166666666667,17,"becher","Trinkgefässe","Misc II","1426","1","NA","NA"
"168",1,2,8,50,"3","2","8",28.2166666666667,17,"mülleimer","Filler","Filler","553","1","NA","NA"
"169",1,2,9,50,"3","2","8",28.2166666666667,17,"spinne","Insekten","Tiere","490","1","NA","NA"
"170",1,2,10,50,"3","2","8",28.2166666666667,17,"birne","Obst","Lebensmittel","434","1","NA","NA"
"171",1,2,11,50,"3","2","8",28.2166666666667,17,"brille","Filler","Filler","568","1","NA","NA"
"172",1,2,12,50,"3","2","8",28.2166666666667,17,"biene","Insekten","Tiere","1230","1","NA","NA"
"173",1,2,13,50,"3","2","8",28.2166666666667,17,"tasse","Trinkgefässe","Misc II","537","1","NA","NA"
"174",1,2,14,50,"3","2","8",28.2166666666667,17,"kopfkissen","Filler","Filler","605","1","NA","NA"
"175",1,2,15,50,"3","2","8",28.2166666666667,17,"trauben","Obst","Lebensmittel","736","1.1","Weintrauben","NA"
"176",1,2,16,50,"3","2","8",28.2166666666667,17,"fliege","Insekten","Tiere","1385","1.1","Stubenfliege","NA"
"177",1,2,17,50,"3","2","8",28.2166666666667,17,"flasche","Trinkgefässe","Misc II","1803","1","NA","NA"
"178",1,2,18,50,"3","2","8",28.2166666666667,17,"kirsche","Obst","Lebensmittel","452","1","NA","NA"
"179",1,2,19,50,"3","2","8",28.2166666666667,17,"fächer","Filler","Filler","413","1","NA","NA"
"180",1,2,20,50,"3","2","8",28.2166666666667,17,"kanne","Trinkgefässe","Misc II","855","1","NA","NA"
"181",1,2,21,50,"3","2","8",28.2166666666667,17,"gurke","Gemüse","Lebensmittel","474","1","NA","NA"
"182",1,2,22,50,"3","2","8",28.2166666666667,17,"arztkittel","Jacken","Kleidung","590","1","NA","NA"
"183",1,2,23,50,"3","2","8",28.2166666666667,17,"cd","Filler","Filler","498","1","NA","NA"
"184",1,2,24,50,"3","2","8",28.2166666666667,17,"karotte","Gemüse","Lebensmittel","1148","1.1","Moehre","NA"
"185",1,2,25,50,"3","2","8",28.2166666666667,17,"säge","Bauernhof","Werkzeug","443","1","NA","NA"
"186",1,2,26,50,"3","2","8",28.2166666666667,17,"pelzmantel","Jacken","Kleidung","825","1","NA","NA"
"187",1,2,27,50,"3","2","8",28.2166666666667,17,"kartoffel","Gemüse","Lebensmittel","485","1","NA","NA"
"188",1,2,28,50,"3","2","8",28.2166666666667,17,"besen","Bauernhof","Werkzeug","560","1","NA","NA"
"189",1,2,29,50,"3","2","8",28.2166666666667,17,"schornstein","Filler","Filler","1586","1","NA","NA"
"190",1,2,30,50,"3","2","8",28.2166666666667,17,"sakko","Jacken","Kleidung","661","1","NA","NA"
"191",1,2,31,50,"3","2","8",28.2166666666667,17,"sense","Bauernhof","Werkzeug","475","1","NA","NA"
"192",1,2,32,50,"3","2","8",28.2166666666667,17,"kopfhörer","Filler","Filler","524","1","NA","NA"
"193",1,2,33,50,"3","2","8",28.2166666666667,17,"paprika","Gemüse","Lebensmittel","696","1","NA","NA"
"194",1,2,34,50,"3","2","8",28.2166666666667,17,"schaufel","Bauernhof","Werkzeug","455","1","NA","NA"
"195",1,2,35,50,"3","2","8",28.2166666666667,17,"pinsel","Filler","Filler","555","1","NA","NA"
"196",1,2,36,50,"3","2","8",28.2166666666667,17,"daunenweste","Jacken","Kleidung","870","1","NA","NA"
"197",1,2,37,50,"3","2","8",28.2166666666667,17,"brokkoli","Gemüse","Lebensmittel","612","1","NA","NA"
"198",1,2,38,50,"3","2","8",28.2166666666667,17,"axt","Bauernhof","Werkzeug","545","1","NA","NA"
"199",1,2,39,50,"3","2","8",28.2166666666667,17,"kapuzenpulli","Jacken","Kleidung","1194","1","NA","NA"
"200",1,2,40,50,"3","2","8",28.2166666666667,17,"kamera","Filler","Filler","638","1","NA","NA"
"201",1,2,41,50,"3","2","8",28.2166666666667,17,"kirche","Gebäude","Misc II","585","1","NA","NA"
